PtID,CompletedProtocol,Condition,IsSR,NormalFirst,SessionTime,StartKSS,EndKSS,TrialNo,TaskVersion,NoBlkBall,OddsA,OddsB,CorrectResp,PtResp,RT,IsCorrect,NoBrainers,NoBrainersTotal,Accuracy,L(X|A),L(X|B), LR(A) ,Prior(A),LogLLA,LogBaserate,post_odds,post_prob,IsEasy
2,1,2,1,1,1,3,3,24,2,5,0.1,0.9,0,0,1003,1,0,,,0.004877305,0.001219326,4.000000001,0.1,1.386294361,-2.197224577,0.444444445,0.30769,0
2,1,2,1,1,1,3,3,25,2,5,0.2,0.8,2,0,910,1,0,,,0.004877305,0.001219326,4.000000001,0.2,1.386294361,-1.386294361,1,0.50000,0
2,1,2,1,1,1,3,3,26,2,4,0.9,0.1,1,1,1211,1,0,,,0.002438653,0.002438653,1,0.9,0,2.197224577,8.999999997,0.90000,1
2,1,2,1,1,1,3,3,27,2,2,0.1,0.9,0,0,1905,1,0,,,0.000609663,0.009754611,0.0625,0.1,-2.772588722,-2.197224577,0.006944444,0.00690,1
2,1,2,1,1,1,3,3,28,2,3,0.9,0.1,1,1,698,1,0,,,0.001219326,0.004877305,0.25,0.9,-1.386294361,2.197224577,2.25,0.69231,0
2,1,2,1,1,1,3,3,29,2,2,0.4,0.6,0,0,1317,1,0,,,0.000609663,0.009754611,0.0625,0.4,-2.772588722,-0.405465108,0.041666667,0.04000,1
2,1,2,1,1,1,3,3,30,2,6,0.6,0.4,1,1,1168,1,0,,,0.009754611,0.000609663,16,0.6,2.772588722,0.405465108,23.99999999,0.96000,1
2,1,2,1,1,1,3,3,31,2,2,0.6,0.4,0,1,972,0,0,,,0.000609663,0.009754611,0.0625,0.6,-2.772588722,0.405465108,0.09375,0.08571,1
2,1,2,1,1,1,3,3,32,2,3,0.5,0.5,0,0,3202,1,0,,,0.001219326,0.004877305,0.25,0.5,-1.386294361,0,0.25,0.20000,0
2,1,2,1,1,1,3,3,33,2,5,0.3,0.7,1,0,2643,0,0,,,0.004877305,0.001219326,4.000000001,0.3,1.386294361,-0.84729786,1.714285715,0.63158,0
